original,unstylized
"He has not, has he? He does not know what being in love is!' 'I see no reason that he should not know, as well as you,' I returned; 'and if you are his choice, he'll be the most unfortunate creature that ever was born! As soon as you become Mrs. Linton, he loses friend, and love, and all! Have you considered how you'll bear the separation, and how he'll bear to be quite deserted in the world? Because, Miss Catherine - ' 'He quite deserted! we separated!' she exclaimed, with an accent of indignation. 'Who is to separate us, pray? They'll meet the fate of Milo! Not as long as I live, Ellen: for no mortal creature. Every Linton on the face of the earth might melt into nothing before I could consent to forsake Heathcliff. Oh, that's not what I intend that's not what I mean! I shouldn't be Mrs. Linton were such a price demanded! He'll be as much to me as he has been all his lifetime.","Hasn't he, has he? He doesn't know what it is to be in love! 'I see no reason why he shouldn't, just as you do,' I replied. 'And if he chooses you, he will be the unhappiest creature that ever lived! The moment you are Mrs. Linton, he will lose his friend, his love, and everything! Have you considered how you will bear the separation, and how he will bear being utterly abandoned to the world? For, Miss Catherine—' 'He is utterly deserted! We are separated!' she cried indignantly. 'Who will, pray, separate us? You will suffer the same fate as Milo! Not in my lifetime, Ellen: not for any mortal being. All the Lintons on earth may vanish before I consent to leave Heathcliff. Oh, I don't mean that, I don't mean that!' I wouldn't be Mrs. Linton if such a price were exacted from me! He will mean as much to me as he did his entire life."
"Edgar must shake off his antipathy, and tolerate him, at least. He will, when he learns my true feelings towards him. Nelly, I see now you think me a selfish wretch; but did it never strike you that if Heathcliff and I married, we should be beggars? whereas, if I marry Linton I can aid Heathcliff to rise, and place him out of my brother's power.' 'With your husband's money, Miss Catherine?' I asked. 'You'll find him not so pliable as you calculate upon: and, though I'm hardly a judge, I think that's the worst motive you've given yet for being the wife of young Linton.' 'It is not,' retorted she; 'it is the best! The others were the satisfaction of my whims: and for Edgar's sake, too, to satisfy him.","Edgar must put aside his dislike and at least tolerate him. He will do so when he learns my true feelings for him. Nelly, I see now that you think me a selfish villain; but has it never occurred to you that we would be beggars if Heathcliff and I were married? If I married Linton, I could help Heathcliff to his feet and free him from my brother's grasp. ""With your husband's money, Miss Catherine?"" I asked. ""You will find him not as docile as you think; and though I find it difficult to judge, I consider this the worst reason you ever gave for becoming young Linton's wife."" ""It is not,"" she replied, ""it is the best! The others were the gratification of my caprices, and also for Edgar's sake, to appease him."""
"This is for the sake of one who comprehends in his person my feelings to Edgar and myself. I cannot express it; but surely you and everybody have a notion that there is or should be an existence of yours beyond you. What were the use of my creation, if I were entirely contained here? My great miseries in this world have been Heathcliff's miseries, and I watched and felt each from the beginning: my great thought in living is himself.","This is for someone who understands my feelings for Edgar and myself personally. I cannot express them in words; but surely you, like everyone else, believe that there is, or should be, an existence outside yourself? What would my creation have been of use if I had been entirely absorbed in it? My greatest misfortune in this world was Heathcliff's misfortune, and I have experienced and felt them all from the beginning: my greatest thought in life is him."
"If all else perished, and HE remained, I should still continue to be; and if all else remained, and he were annihilated, the universe would turn to a mighty stranger: I should not seem a part of it. - My love for Linton is like the foliage in the woods: time will change it, I'm well aware, as winter changes the trees. My love for Heathcliff resembles the eternal rocks beneath: a source of little visible delight, but necessary. Nelly, I AM Heathcliff! He's always, always in my mind: not as a pleasure, any more than I am always a pleasure to myself, but as my own being.","If all else perished, and HE remained, I should still exist; and if all else remained, and HE were destroyed, the universe were turned into a mighty stranger: I should not belong to it.—My love for Linton is like the leaves of the wood: time will change it, I know, as winter changes the trees. My love for Heathcliff is like the eternal rocks that cover it: a source of seemingly small joy, but necessary none the less. Nelly, I AM Heathcliff! He is always, always on my mind: not as a joy, any more than I am always a joy to myself, but as my own being."
"So don't talk of our separation again: it is impracticable; and - ' She paused, and hid her face in the folds of my gown; but I jerked it forcibly away. I was out of patience with her folly! 'If I can make any sense of your nonsense, Miss,' I said, 'it only goes to convince me that you are ignorant of the duties you undertake in marrying; or else that you are a wicked, unprincipled girl. But trouble me with no more secrets: I'll not promise to keep them.' 'You'll keep that?' she asked, eagerly. 'No, I'll not promise,' I repeated.","Then speak no more of our separation: it is impracticable; and—"" She paused and buried her face in the folds of my dress; but I tore it violently. My patience with her nonsense was at an end! ""If I can understand your nonsense, Mademoiselle,"" I said, ""it only convinces me that you do not know the duties you assume in marriage; or that you are a wicked and unscrupulous girl. But do not burden me with further secrets: I do not promise to keep them."" ""Will you keep them?"" she asked eagerly. ""No, I do not promise,"" I repeated."
"She was about to insist, when the entrance of Joseph finished our conversation; and Catherine removed her seat to a corner, and nursed Hareton, while I made the supper. After it was cooked, my fellow-servant and I began to quarrel who should carry some to Mr. Hindley; and we didn't settle it till all was nearly cold. Then we came to the agreement that we would let him ask, if he wanted any; for we feared particularly to go into his presence when he had been some time alone. 'And how isn't that nowt comed in fro' th' field, be this time? What is he about? girt idle seeght!' demanded the old man, looking round for Heathcliff. 'I'll call him,' I replied. 'He's in the barn, I've no doubt.' I went and called, but got no answer.","She wanted to insist, but Joseph's arrival interrupted our conversation. Catherine pushed her chair into a corner and looked after Hareton while I prepared dinner. When the meal was ready, my colleague and I began to discuss who should take what to Mr. Hindley; and we were only able to settle the matter when everything was almost cold. Then we agreed to ask him if he wanted anything, as we felt particularly brave enough to speak to him after a while of solitude. ""And how can he not be back from the field yet? What is he doing? He's dirty!"" asked the old man, looking for Heathcliff. ""I'll call him,"" I replied. ""He's in the barn, I'm sure of it."" I tried to call him, but received no answer."
"On returning, I whispered to Catherine that he had heard a good part of what she said, I was sure; and told how I saw him quit the kitchen just as she complained of her brother's conduct regarding him. She jumped up in a fine fright, flung Hareton on to the settle, and ran to seek for her friend herself; not taking leisure to consider why she was so flurried, or how her talk would have affected him. She was absent such a while that Joseph proposed we should wait no longer.","When I returned, I whispered to Catherine that he must have heard much of what she had said. And I told him how I had seen him coming out of the kitchen just as she was complaining about her brother's behavior. She flinched, threw Hareton onto the sofa, and ran off to find her friend. She gave no thought to her excitement or to the effect her words might have had on him. She had been gone so long that Joseph thought they shouldn't wait any longer."
"He cunningly conjectured they were staying away in order to avoid hearing his protracted blessing. They were 'ill eneugh for ony fahl manners,' he affirmed. And on their behalf he added that night a special prayer to the usual quarter-of-an-hour's supplication before meat, and would have tacked another to the end of the grace, had not his young mistress broken in upon him with a hurried command that he must run down the road, and, wherever Heathcliff had rambled, find and make him re-enter directly! 'I want to speak to him, and I MUST, before I go upstairs,' she said. 'And the gate is open: he is somewhere out of hearing; for he would not reply, though I shouted at the top of the fold as loud as I could.' Joseph objected at first; she was too much in earnest, however, to suffer contradiction; and at last he placed his hat on his head, and walked grumbling forth.","He had a sneaking suspicion that they were wandering off to avoid his long and drawn-out benediction. ""That was enough for a few discourtesies,"" he claimed. And for them, that evening, he added a special prayer to the usual fifteen minutes of supplication before dinner, and he would have added another at the end, had not his young mistress surprised him by hastily bidding him go down the road and find Heathcliff, wherever he might have gone, and bring him back at once! ""I want to speak to him, and I MUST before I go up,"" she said. ""And the gate is open: he is somewhere out of earshot; for he has not answered, though I called with all my might from the sheepfold."" Joseph protested at first; but she was too earnest to be contradicted; and at last he put on his hat and muttered."
"Meantime, Catherine paced up and down the floor, exclaiming - 'I wonder where he is - I wonder where he can be! What did I say, Nelly? I've forgotten. Was he vexed at my bad humour this afternoon? Dear! tell me what I've said to grieve him? I do wish he'd come. I do wish he would!' 'What a noise for nothing!' I cried, though rather uneasy myself. 'What a trifle scares you! It's surely no great cause of alarm that Heathcliff should take a moonlight saunter on the moors, or even lie too sulky to speak to us in the hay-loft.","Meanwhile, Catherine paced the room, crying. ""Where is he? Where could he possibly be? What did I say, Nelly? I've forgotten. Did my bad temper upset him this afternoon? My dear! Tell me, what did I say to hurt him? I wish he would come. I wish he would come!"" ""What a racket!"" I cried, though I was a little worried myself. ""What a terrible thing! There's no need to worry about Heathcliff running across the moor in the moonlight or being too grumpy to talk to us in the hayloft."""
"I'll engage he's lurking there. See if I don't ferret him out!' I departed to renew my search; its result was disappointment, and Joseph's quest ended in the same. 'Yon lad gets war und war!' observed he on re-entering. 'He's left th' gate at t' full swing, and Miss's pony has trodden dahn two rigs o' corn, and plottered through, raight o'er into t' meadow! Hahsomdiver, t' maister 'ull play t' devil to-morn, and he'll do weel. He's patience itsseln wi' sich careless, offald craters - patience itsseln he is! Bud he'll not be soa allus - yah's see, all on ye! Yah mun'n't drive him out of his heead for nowt!' 'Have you found Heathcliff, you ass?' interrupted Catherine. 'Have you been looking for him, as I ordered?' 'I sud more likker look for th' horse,' he replied. 'It 'ud be to more sense.","I'll wait for him there. Let's see if I can't find him! I resumed my search; the result was disappointment, and Joseph's ended the same way. ""That boy will have war and war!"" he remarked as he came in. ""He opened the gate, and Miss's pony lifted two rows of corn and climbed right through it, right into the middle of the field! Hahsomdiver, the master, will face hell on earth tomorrow, and he'll do well. He has patience even with such careless, filthy craters—what patience he has himself! But he won't be so hungry—you see, it's all yours! You won't get him out of your head for nothing!"" ""Have you found Heathcliff, donkey?"" interrupted Catherine. ""Have you looked for him as I ordered?"" ""I'd rather look for the horse,"" he replied. ""That would be more logical."""
"Bud I can look for norther horse nur man of a neeght loike this - as black as t' chimbley! und Heathcliff's noan t' chap to coom at MY whistle happen he'll be less hard o' hearing wi' YE!' It WAS a very dark evening for summer: the clouds appeared inclined to thunder, and I said we had better all sit down; the approaching rain would be certain to bring him home without further trouble. However, Catherine would hot be persuaded into tranquillity. She kept wandering to and fro, from the gate to the door, in a state of agitation which permitted no repose; and at length took up a permanent situation on one side of the wall, near the road: where, heedless of my expostulations and the growling thunder, and the great drops that began to plash around her, she remained, calling at intervals, and then listening, and then crying outright.","But I can find a Nordic horse, not quite so—as black as Chimbley! And Heathcliff, no, let the fellow come to my whistle, and he'll hear better with you! It was a very dark summer evening; the clouds seemed to be gathering into a storm, and I said we had better sit down; the approaching rain would surely bring him home without further trouble. Catherine, however, could not be pacified. She wandered restlessly from door to door, in a state of agitation that brooked no repose; and at last she settled down permanently on one side of the wall near the road: where, ignoring my warnings, the rumble of thunder and the large drops that began to patter around her, she called now and then, then listened, then cried aloud."
"She beat Hareton, or any child, at a good passionate fit of crying. About midnight, while we still sat up, the storm came rattling over the Heights in full fury. There was a violent wind, as well as thunder, and either one or the other split a tree off at the corner of the building: a huge bough fell across the roof, and knocked down a portion of the east chimney-stack, sending a clatter of stones and soot into the kitchen-fire.","She would have made Hareton, or any other child, burst into tears. Around midnight, while we were still awake, a storm broke out on the Heights. A fierce wind and thunder raged, and one of them tore a tree from the corner of the building; a huge branch fell on the roof and tore down part of the east chimney, throwing stones and soot into the kitchen fire."
"We thought a bolt had fallen in the middle of us; and Joseph swung on to his knees, beseeching the Lord to remember the patriarchs Noah and Lot, and, as in former times, spare the righteous, though he smote the ungodly. I felt some sentiment that it must be a judgment on us also. The Jonah, in my mind, was Mr. Earnshaw; and I shook the handle of his den that I might ascertain if he were yet living.","We thought lightning had struck us. Joseph fell to his knees and begged the Lord to remember the patriarchs Noah and Lot and, as He had once done, to spare the righteous, even though He had struck down the wicked. I sensed that this must be a judgment for us as well. Jonah, in my mind, was Mr. Earnshaw; and I shook the door of his cave to see if he was still alive."
"He replied audibly enough, in a fashion which made my companion vociferate, more clamorously than before, that a wide distinction might be drawn between saints like himself and sinners like his master. But the uproar passed away in twenty minutes, leaving us all unharmed; excepting Cathy, who got thoroughly drenched for her obstinacy in refusing to take shelter, and standing bonnetless and shawl-less to catch as much water as she could with her hair and clothes. She came in and lay down on the settle, all soaked as she was, turning her face to the back, and putting her hands before it. 'Well, Miss!' I exclaimed, touching her shoulder; 'you are not bent on getting your death, are you? Do you know what o'clock it is? Half-past twelve.","He answered in a fairly audible voice, in a manner that made my companion scream even louder than before, so that it was possible to clearly distinguish saints like him from sinners like his master. But the commotion subsided after twenty minutes, and we all left unharmed, except for Cathy, who was soaked to the skin because she stubbornly refused to seek shelter and, without a hat or shawl, to collect as much water as possible in her hair and clothes. She went inside and lay down on the sofa, completely soaked, turned her face back, and placed her hands on it. ""Come on now, Miss!"" I cried, touching her shoulder. ""You're not here to die, are you? Do you know what time it is? Twelve thirty."""
"Come, come to bed! there's no use waiting any longer on that foolish boy: he'll be gone to Gimmerton, and he'll stay there now. He guesses we shouldn't wait for him till this late hour: at least, he guesses that only Mr. Hindley would be up; and he'd rather avoid having the door opened by the master.' 'Nay, nay, he's noan at Gimmerton,' said Joseph. 'I's niver wonder but he's at t' bothom of a bog-hoile. This visitation worn't for nowt, and I wod hev' ye to look out, Miss - yah muh be t' next.","Come to bed! We needn't wait any longer for the damned boy: he's gone to Gimmerton and is staying there. He supposes we shouldn't expect him until this late hour; at least, he supposes only Mr. Hindley is still up; and he would rather the master hadn't opened the door. ""No, no, he's not at Gimmerton,"" said Joseph. ""No wonder he's sitting in the bog. This visit has been in vain, and I beg you, be careful, miss; you're next."""
"Thank Hivin for all! All warks togither for gooid to them as is chozzen, and piked out fro' th' rubbidge! Yah knaw whet t' Scripture ses.' And he began quoting several texts, referring us to chapters and verses where we might find them. I, having vainly begged the wilful girl to rise and remove her wet things, left him preaching and her shivering, and betook myself to bed with little Hareton, who slept as fast as if everyone had been sleeping round him. I heard Joseph read on a while afterwards; then I distinguished his slow step on the ladder, and then I dropped asleep.","Thank you, Hivin, for everything! Cooperation is good for them, as it should be, and it's so easy! You know how to find the Scriptures."" And he began quoting various texts, telling us the chapters and verses where we could find them. After vainly pleading with the wayward girl to get up and take off her wet clothes, I left him preaching and trembling and went to bed with little Hareton, who fell asleep as soundly as if everyone around him were asleep. I heard Joseph reading further a little later; then I heard his slow footsteps on the ladder and fell asleep."
"Coming down somewhat later than usual, I saw, by the sunbeams piercing the chinks of the shutters, Miss Catherine still seated near the fireplace. The house-door was ajar, too; light entered from its unclosed windows; Hindley had come out, and stood on the kitchen hearth, haggard and drowsy. 'What ails you, Cathy?' he was saying when I entered: 'you look as dismal as a drowned whelp. Why are you so damp and pale, child?' 'I've been wet,' she answered reluctantly, 'and I'm cold, that's all.' 'Oh, she is naughty!' I cried, perceiving the master to be tolerably sober. 'She got steeped in the shower of yesterday evening, and there she has sat the night through, and I couldn't prevail on her to stir.' Mr. Earnshaw stared at us in surprise. 'The night through,' he repeated. 'What kept her up? not fear of the thunder, surely? That was over hours since.' Neither of us wished to mention Heathcliff's absence, as long as we could conceal it; so I replied, I didn't know how she took it into her head to sit up; and she said nothing.","Coming downstairs a little later than usual, I saw, by the rays of sunlight peeping through the cracks in the shutters, that Miss Catherine was still sitting by the fire. The front door was also ajar; the light fell through the open windows; Hindley had gone out and was standing, exhausted and sleepy, over the kitchen fire. ""What is the matter, Cathy?"" he asked as I came in. ""You look as gloomy as a drowned bear. Why are you so pale and wet, girl?"" ""I was wet,"" she answered reluctantly, ""and I'm cold, that's all."" ""Oh, she's naughty!"" I exclaimed, perceiving that the gentleman was sober. ""She was wet from the rain last night, and she lay there all night, and I couldn't shake her off."" Mr. Earnshaw looked at us in astonishment. ""All night,"" he repeated. ""What kept her awake? Surely not fear of thunder?"" That was hours ago. Neither of us wanted to mention Heathcliff's absence as long as we could hide it. So I replied, ""I don't know how she had the courage to sit up."" And she said nothing."
"The morning was fresh and cool; I threw back the lattice, and presently the room filled with sweet scents from the garden; but Catherine called peevishly to me, 'Ellen, shut the window. I'm starving!' And her teeth chattered as she shrank closer to the almost extinguished embers. 'She's ill,' said Hindley, taking her wrist; 'I suppose that's the reason she would not go to bed. Damn it! I don't want to be troubled with more sickness here.","The morning was fresh and clear; I opened the shutter, and soon the sweet scent of the garden filled the room. But Catherine called to me grumpily, ""Ellen, close the window! I'm starving!"" Her teeth chattered as she approached the almost extinguished embers. ""She's ill,"" said Hindley, taking her wrist. ""I suppose that's why she didn't want to go to bed. Damn it! I don't want any more sickness here."""
"What took you into the rain?' 'Running after t' lads, as usuald!' croaked Joseph, catching an opportunity from our hesitation to thrust in his evil tongue. 'If I war yah, maister, I'd just slam t' boards i' their faces all on 'em, gentle and simple! Never a day ut yah're off, but yon cat o' Linton comes sneaking hither; and Miss Nelly, shoo's a fine lass! shoo sits watching for ye i' t' kitchen; and as yah're in at one door, he's out at t'other; and, then, wer grand lady goes acourting of her side! It's bonny behaviour, lurking amang t' fields, after twelve o' t' night, wi' that fahl, flaysome divil of a gipsy, Heathcliff! They think I'M blind; but I'm noan: nowt ut t' soart! - I seed young Linton boath coming and going, and I seed YAH' (directing his discourse to me), 'yah gooid fur nowt, slattenly witch! nip up and bolt into th' house, t' minute yah heard t' maister's horse-fit clatter up t' road.' 'Silence, eavesdropper!' cried Catherine; 'none of your insolence before me! Edgar Linton came yesterday by chance, Hindley; and it was I who told him to be off: because I knew you would not like to have met him as you were.' 'You lie, Cathy, no doubt,' answered her brother, 'and you are a confounded simpleton! But never mind Linton at present: tell me, were you not with Heathcliff last night? Speak the truth, now. You need not he afraid of harming him: though I hate him as much as ever, he did me a good turn a short time since that will make my conscience tender of breaking his neck. To prevent it, I shall send him about his business this very morning; and after he's gone, I'd advise you all to look sharp: I shall only have the more humour for you.' 'I never saw Heathcliff last night,' answered Catherine, beginning to sob bitterly: 'and if you do turn him out of doors, I'll go with him.","What brought you out into the rain? ""You're running after those boys, like always!"" croaked Joseph, taking advantage of our hesitation to use his sharp tongue. ""If I were you, sir, I'd just smash them on the head with a plank! Not a day goes by when you're away without Linton's cat sneaking in; and Miss Nelly, she's a pretty girl! She waits for you in the kitchen; and when you go in by one door, he goes out by the other; and then our great lady is gone! What pretty behavior, creeping about the fields like this after midnight with that dirty, fawning gypsy Heathcliff! They take me for blind; but I'm a nobody: nothing to be exorcised!"" ""I see young Linton coming and going, and I see YAH (turning to me): 'YAH plays in vain, you careless witch!'"" ""Go quickly upstairs and rush into the house, just as you hear the master's horse rattle in the street."" ""Hush, you indiscreet woman!"" cried Catherine. ""Don't be so impertinent to me! Edgar Linton happened to be passing by yesterday, Hindley; and it was I who rebuked him, for I knew you would not have liked to see him thus."" ""You are lying, Cathy, I'm sure you are,"" replied her brother, ""and you are a damned fool! But leave Linton alone for a moment: Tell me, were you not at Heathcliff's last night? Tell the truth now. You needn't be afraid of hurting him. Although I hate him just as much, he recently did me a service that will give me remorse. To prevent that, I'll send him out this morning; and when he's gone, I advise you all to stay dry; then I'll be even funnier to you."" ""I didn't see Heathcliff last night,"" Catherine answered, beginning to sob bitterly, ""and if you send him out, I'll go with him."""
"But, perhaps, you'll never have an opportunity: perhaps, he's gone.' Here she burst into uncontrollable grief, and the remainder of her words were inarticulate. Hindley lavished on her a torrent of scornful abuse, and bade her get to her room immediately, or she shouldn't cry for nothing! I obliged her to obey; and I shall never forget what a scene she acted when we reached her chamber: it terrified me. I thought she was going mad, and I begged Joseph to run for the doctor.","But perhaps you will never have the opportunity; perhaps he has gone away."" Here she burst into uncontrollable grief, and the rest of her words were unintelligible. Hindley showered her with a torrent of contemptuous insults and ordered her to return to her room immediately, or she would not weep in vain! I forced her to obey, and I will never forget the sight she presented to us when she arrived in her room: it frightened me. I thought she was going mad and asked Joseph to send for the doctor."
"It proved the commencement of delirium: Mr. Kenneth, as soon as he saw her, pronounced her dangerously ill; she had a fever. He bled her, and he told me to let her live on whey and water-gruel, and take care she did not throw herself downstairs or out of the window; and then he left: for he had enough to do in the parish, where two or three miles was the ordinary distance between cottage and cottage. Though I cannot say I made a gentle nurse, and Joseph and the master were no better, and though our patient was as wearisome and headstrong as a patient could be, she weathered it through.","This was the beginning of a delirium: As soon as Mr. Kenneth saw her, he declared her gravely ill; she had a fever. He took her blood and told me to keep her alive with a porridge of whey and water and to make sure she didn't throw herself down the stairs or out of the window. Then he left; he had enough to do in the community, where the individual houses were usually three or four kilometers apart. Although I was not exactly a kind nurse, and Joseph and the Lord were no better, and our patient was as annoying and stubborn as one could be, she survived."
"Old Mrs. Linton paid us several visits, to be sure, and set things to rights, and scolded and ordered us all; and when Catherine was convalescent, she insisted on conveying her to Thrushcross Grange: for which deliverance we were very grateful. But the poor dame had reason to repent of her kindness: she and her husband both took the fever, and died within a few days of each other. Our young lady returned to us saucier and more passionate, and haughtier than ever.","Old Mrs. Linton visited us several times, correcting us, scolding us, and bossing us around. When Catherine recovered, she insisted on taking her to Thrushcross Grange, for which we were very grateful. But the poor lady had reason to regret her kindness: she and her husband both fell ill with a fever and died within a few days. Our young wife returned more impudent, passionate, and arrogant than ever."
"Heathcliff had never been heard of since the evening of the thunder-storm; and, one day, I had the misfortune, when she had provoked me exceedingly, to lay the blame of his disappearance on her: where indeed it belonged, as she well knew. From that period, for several months, she ceased to hold any communication with me, save in the relation of a mere servant. Joseph fell under a ban also: he would speak his mind, and lecture her all the same as if she were a little girl; and she esteemed herself a woman, and our mistress, and thought that her recent illness gave her a claim to be treated with consideration.","Since the stormy night, there had been no news of Heathcliff; and one day, after she had provoked me violently, I had the misfortune to blame her for his disappearance—in her place, as she knew only too well. From then on, and for several months, she had no further contact with me except as a simple servant. Joseph, too, fell under her spell: he told her what he thought and lectured her like a little girl; she considered herself a woman and our mistress and believed that her recent illness justified respectful treatment."
"Then the doctor had said that she would not bear crossing much; she ought to have her own way; and it was nothing less than murder in her eyes for any one to presume to stand up and contradict her. From Mr. Earnshaw and his companions she kept aloof; and tutored by Kenneth, and serious threats of a fit that often attended her rages, her brother allowed her whatever she pleased to demand, and generally avoided aggravating her fiery temper. He was rather too indulgent in humouring her caprices; not from affection, but from pride: he wished earnestly to see her bring honour to the family by an alliance with the Lintons, and as long as she let him alone she might trample on us like slaves, for aught he cared! Edgar Linton, as multitudes have been before and will be after him, was infatuated: and believed himself the happiest man alive on the day he led her to Gimmerton Chapel, three years subsequent to his father's death.","The doctor had declared at the time that she would tolerate no great injustice; she must have her own way; and that in her eyes it was murder if anyone dared to contradict her. She kept her away from Mr. Earnshaw and his companions; and under Kenneth's guidance, and with stern threats that often accompanied his tantrums, her brother granted her all she wanted and generally avoided irritating her hot temper. He was rather indulgent in his indulgences; not from affection, but from pride: he ardently desired that she should do honor to the family by an alliance with the Lintons, and as long as she left him alone, she could trample us all down like slaves, he cared little! Edgar Linton, like many before and after him, was madly in love: and he considered himself the happiest man in the world on the day he conducted her to Gimmerton Chapel, three years after her father's death."
"Much against my inclination, I was persuaded to leave Wuthering Heights and accompany her here, Little Hareton was nearly five years old, and I had just begun to teach him his letters. We made a sad parting; but Catherine's tears were more powerful than ours. When I refused to go, and when she found her entreaties did not move me, she went lamenting to her husband and brother.","Very reluctantly, I allowed myself to be persuaded to leave Wuthering Heights and accompany him here. Little Hareton was almost five years old, and I had only just begun to teach him to read. We said our goodbyes sadly, but Catherine's tears were stronger than ours. When I refused, seeing that her pleas did not move me, she went to her husband and brother with a sad face."
"The former offered me munificent wages; the latter ordered me to pack up: he wanted no women in the house, he said, now that there was no mistress; and as to Hareton, the curate should take him in hand, by-and-by. And so I had but one choice left: to do as I was ordered. I told the master he got rid of all decent people only to run to ruin a little faster; I kissed Hareton, said good-by; and since then he has been a stranger: and it's very queer to think it, but I've no doubt he has completely forgotten all about Ellen Dean, and that he was ever more than all the world to her and she to him! At this point of the housekeeper's story she chanced to glance towards the time-piece over the chimney; and was in amazement on seeing the minute-hand measure half-past one.","The first offered me a generous salary; the second ordered me to leave: he wanted no more women in the house, he said, now that there was no mistress; and as for Hareton, the vicar would soon overpower him. So I had only one choice: to obey. I explained to the master that he wanted to get rid of all honest people in order to ruin himself even more quickly; I kissed Hareton and took my leave; and since then he has become a stranger to me: and it is very strange, but I have no doubt that he has completely forgotten Ellen Dean, and that he has always been more precious to her, and she to him! At this point in her story, the housekeeper glanced at the clock above the mantelpiece and was surprised to see the minute hand pointing to half past one."
"She would not hear of staying a second longer: in truth, I felt rather disposed to defer the sequel of her narrative myself. And now that she is vanished to her rest, and I have meditated for another hour or two, I shall summon courage to go also, in spite of aching laziness of head and limbs. A CHARMING introduction to a hermit's life! Four weeks' torture, tossing, and sickness! Oh, these bleak winds and bitter northern skies, and impassable roads, and dilatory country surgeons! And oh, this dearth of the human physiognomy! and, worse than all, the terrible intimation of Kenneth that I need not expect to be out of doors till spring! Mr. Heathcliff has just honoured me with a call.","She would not stay a moment longer: to tell the truth, I was rather inclined to postpone the continuation of her narrative. And now that she has vanished to her resting place, and I have meditated for another hour or two, I shall summon courage to go thither too, in spite of the painful torpor of my head and limbs. A charming introduction to the life of a hermit! Four weeks of torture, tossing and turning, and sickness! Oh, these biting winds, this biting northern sky, these impassable roads, and these slow country doctors! And oh, this absence of human faces! And, worst of all, Kenneth's dreadful intimation that I should not come out again until spring! Mr. Heathcliff has just graced me with his visit."
"About seven days ago he sent me a brace of grouse - the last of the season. Scoundrel! He is not altogether guiltless in this illness of mine; and that I had a great mind to tell him. But, alas! how could I offend a man who was charitable enough to sit at my bedside a good hour, and talk on some other subject than pills and draughts, blisters and leeches? This is quite an easy interval.","About seven days ago, he sent me some grouse—the last of the season. What a scoundrel! He's not entirely innocent of my illness; and I was anxious to tell him so. But alas! How could I offend a man who was kind enough to sit by my bed for an hour and talk about something other than pills and medicines, blisters and leeches? It's a rather pleasant time."
"I am too weak to read; yet I feel as if I could enjoy something interesting. Why not have up Mrs. Dean to finish her tale? I can recollect its chief incidents, as far as she had gone. Yes: I remember her hero had run off, and never been heard of for three years; and the heroine was married.","I'm too weak to read, but I think I could read something interesting. Why don't we let Mrs. Dean finish her story? I still remember the key events and how far she's come. Yes, I remember that her hero ran away and wasn't heard from for three years; and that the heroine got married."
"I'll ring: she'll be delighted to find me capable of talking cheerfully. Mrs. Dean came. 'It wants twenty minutes, sir, to taking the medicine,' she commenced. 'Away, away with it!' I replied; 'I desire to have - ' 'The doctor says you must drop the powders.' 'With all my heart! Don't interrupt me. Come and take your seat here.","I'll call her; she'll be pleased to hear I'm having a good time. Mrs. Dean came in. ""It takes twenty minutes, sir, to take the medicine,"" she began. ""Take it off!"" I replied. ""I wish—"" ""The doctor says you must stop taking the powders."" ""With all my heart! Don't interrupt me. Come and sit here."""
"Keep your fingers from that bitter phalanx of vials. Draw your knitting out of your pocket - that will do - now continue the history of Mr. Heathcliff, from where you left off, to the present day. Did he finish his education on the Continent, and come back a gentleman? or did he get a sizar's place at college, or escape to America, and earn honours by drawing blood from his foster-country? or make a fortune more promptly on the English highways?' 'He may have done a little in all these vocations, Mr. Lockwood; but I couldn't give my word for any.","Keep your hands off this bitter bottle phalanx. Take your knitting out of your pocket—it's enough—and pick up Mr. Heathcliff's story right where you left off, up to the present day. Did he finish his studies on the Continent and return a gentleman? Or did he secure a position as a sazar at the university, or did he escape to America and earn distinction there by spilling the blood of his host country? Or did he make his fortune more quickly on the English streets? ""He may have achieved something in all those professions, Mr. Lockwood; but I can vouch for none of them."""
"I stated before that I didn't know how he gained his money; neither am I aware of the means he took to raise his mind from the savage ignorance into which it was sunk: but, with your leave, I'll proceed in my own fashion, if you think it will amuse and not weary you. Are you feeling better this morning?' 'Much.' 'That's good news.' I got Miss Catherine and myself to Thrushcross Grange; and, to my agreeable disappointment, she behaved infinitely better than I dared to expect. She seemed almost over-fond of Mr. Linton; and even to his sister she showed plenty of affection.","I have already said that I did not know how he came by his money; nor did I know the means by which he extricated himself from the barbarous ignorance into which he had fallen. But, with your permission, I will proceed in my own way, if you think it will amuse and not tire you. 'Are you better this morning?' 'Very well.' 'That is good news.' I drove Miss Catherine and myself to Thrushcross Grange; and, to my great disappointment, she behaved infinitely better than I had dared to hope. She seemed almost too enthusiastic about Mr. Linton; and even towards her sister she showed much affection."
